Date,Close
11-05-2020,9239.200195
12-05-2020,9196.549805
13-05-2020,9383.549805
14-05-2020,9142.75
15-05-2020,9136.849609
18-05-2020,8823.25
19-05-2020,8879.099609
20-05-2020,9066.549805
21-05-2020,9106.25
22-05-2020,9039.25
26-05-2020,9029.049805
27-05-2020,9314.950195
28-05-2020,9490.099609
29-05-2020,9580.299805
01-06-2020,9826.150391
02-06-2020,9979.099609
03-06-2020,10061.54981
04-06-2020,10029.09961
05-06-2020,10142.15039
08-06-2020,10167.4502
09-06-2020,10046.65039
10-06-2020,10116.15039
11-06-2020,9902
12-06-2020,9972.900391
15-06-2020,9813.700195
16-06-2020,9914
17-06-2020,9881.150391
18-06-2020,10091.65039
19-06-2020,10244.40039
22-06-2020,10311.2002
23-06-2020,10471
24-06-2020,10305.29981
29-06-2020,10312.40039
30-06-2020,10302.09961
02-07-2020,10551.7002
06-07-2020,10763.65039
07-07-2020,10799.65039
08-07-2020,10705.75
09-07-2020,10813.4502
13-07-2020,10802.7002
14-07-2020,10607.34961
15-07-2020,10618.2002
16-07-2020,10739.9502
17-07-2020,10901.7002
20-07-2020,11022.2002
21-07-2020,11162.25
22-07-2020,11132.59961
27-07-2020,11131.79981
28-07-2020,11300.54981
29-07-2020,11202.84961
30-07-2020,11102.15039
03-08-2020,10891.59961
04-08-2020,11095.25
05-08-2020,11101.65039
06-08-2020,11200.15039
07-08-2020,11214.04981
11-08-2020,11322.5
12-08-2020,11308.40039
13-08-2020,11300.4502
14-08-2020,11178.40039
17-08-2020,11247.09961
18-08-2020,11385.34961
19-08-2020,11408.40039
20-08-2020,11312.2002
21-08-2020,11371.59961
24-08-2020,11466.4502
25-08-2020,11472.25
26-08-2020,11549.59961
27-08-2020,11559.25
28-08-2020,11647.59961
01-09-2020,11470.25
02-09-2020,11535
03-09-2020,11527.4502
04-09-2020,11333.84961
08-09-2020,11317.34961
09-09-2020,11278
10-09-2020,11449.25
11-09-2020,11464.4502
14-09-2020,11440.04981
15-09-2020,11521.79981
16-09-2020,11604.54981
17-09-2020,11516.09961
18-09-2020,11504.9502
23-09-2020,11131.84961
24-09-2020,10805.54981
25-09-2020,11050.25
28-09-2020,11227.54981
29-09-2020,11222.40039
30-09-2020,11247.54981
09-10-2020,11914.2002
12-10-2020,11930.9502
14-10-2020,11971.04981
15-10-2020,11680.34961
16-10-2020,11762.4502
19-10-2020,11873.04981
20-10-2020,11896.79981
21-10-2020,11937.65039
22-10-2020,11896.4502
23-10-2020,11930.34961
26-10-2020,11767.75
27-10-2020,11889.40039
28-10-2020,11729.59961
29-10-2020,11670.79981
30-10-2020,11642.40039
04-11-2020,11908.5
05-11-2020,12120.29981
06-11-2020,12263.54981
09-11-2020,12461.04981
10-11-2020,12631.09961
11-11-2020,12749.15039
12-11-2020,12690.79981
13-11-2020,12719.9502
17-11-2020,12874.2002
18-11-2020,12938.25
19-11-2020,12771.7002
20-11-2020,12859.04981
24-11-2020,13055.15039
25-11-2020,12858.40039
26-11-2020,12987
27-11-2020,12968.9502
02-12-2020,13113.75
03-12-2020,13133.90039
04-12-2020,13258.54981
07-12-2020,13355.75
08-12-2020,13392.9502
09-12-2020,13529.09961
10-12-2020,13478.29981
11-12-2020,13513.84961
14-12-2020,13558.15039
15-12-2020,13567.84961
16-12-2020,13682.7002
17-12-2020,13740.7002
18-12-2020,13760.54981
23-12-2020,13601.09961
24-12-2020,13749.25
30-12-2020,13981.9502
04-01-2021,14132.90039
05-01-2021,14199.5
06-01-2021,14146.25
08-01-2021,14347.25
12-01-2021,14563.4502
13-01-2021,14564.84961
14-01-2021,14595.59961
15-01-2021,14433.7002
19-01-2021,14521.15039
20-01-2021,14644.7002
21-01-2021,14590.34961
22-01-2021,14371.90039
25-01-2021,14238.90039
27-01-2021,13967.5
28-01-2021,13817.54981
29-01-2021,13634.59961
01-02-2021,14281.2002
02-02-2021,14647.84961
03-02-2021,14789.9502
04-02-2021,14895.65039
05-02-2021,14924.25
08-02-2021,15115.79981
09-02-2021,15109.29981
10-02-2021,15106.5
18-02-2021,15118.9502
22-02-2021,14675.7002
24-02-2021,14982
25-02-2021,15097.34961
26-02-2021,14529.15039
