Date,GC,IC,GR,IR,GD,ID,Close,Turnover
22-01-2020,555,0,28,0,17,0,12106.9,19758.68
23-01-2020,654,0,30,0,18,0,12180.35,23829.39
24-01-2020,941,0,36,0,26,0,12248.25,18032.27
27-01-2020,2927,0,61,0,82,0,12119,17988.61
28-01-2020,5578,0,107,0,131,0,12055.8,20917.62
29-01-2020,6166,0,126,0,133,0,12129.5,20646.18
30-01-2020,8234,1,143,0,171,0,12035.8,19372.67
31-01-2020,9927,1,222,0,213,0,11962.1,26044.91
01-02-2020,12038,1,284,0,259,0,11661.85,20598.12
03-02-2020,19881,3,623,0,426,0,11707.9,25415.26
04-02-2020,23892,3,852,0,492,0,11979.65,22338.5
05-02-2020,27635,3,1124,0,564,0,12089.15,22998.05
06-02-2020,30794,3,1487,0,634,0,12137.95,21735.92
07-02-2020,34391,3,2011,0,719,0,12098.35,16339.61
10-02-2020,42762,3,3946,0,1013,0,12031.5,17185.14
11-02-2020,44802,3,4683,0,1113,0,12107.9,16209.52
12-02-2020,45221,3,5150,0,1118,0,12201.2,16598.33
13-02-2020,60368,3,6295,0,1371,0,12174.65,16315.27
14-02-2020,66885,3,8058,0,1523,0,12113.45,20759.51
17-02-2020,73258,3,12583,3,1868,0,12045.8,15439.55
18-02-2020,75136,3,14352,3,2007,0,11992.5,18853
19-02-2020,75639,3,16121,3,2122,0,12125.9,17610.89
20-02-2020,76197,3,18177,3,2247,0,12080.85,18831.51
24-02-2020,79561,3,25227,3,2629,0,11829.4,19421.04
25-02-2020,80406,3,27905,3,2708,0,11797.9,18510.82
26-02-2020,81388,3,30384,3,2770,0,11678.5,21887.07
27-02-2020,82746,3,33277,3,2814,0,11633.3,21623.47
28-02-2020,84112,3,36711,3,2872,0,11201.75,32297.15
02-03-2020,90306,5,45602,3,3085,0,11132.75,24204.55
03-03-2020,92840,5,48228,3,3160,0,11303.3,23281.2
04-03-2020,95120,28,51170,3,3254,0,11251,26928.46
05-03-2020,97886,30,53796,3,3347,0,11269,26980.65
06-03-2020,101801,31,55865,3,3459,0,10989.45,26455.29
09-03-2020,113590,43,62494,3,3987,0,10451.45,35151.79
11-03-2020,125875,62,67003,4,4614,1,10458.4,32548.47
12-03-2020,128352,73,68324,4,4722,1,9590.15,39283.97
13-03-2020,145219,82,70251,4,5408,2,9955.2,44167.89
16-03-2020,181603,119,78088,13,7150,2,9197.4,29181.8
17-03-2020,197113,142,80840,14,7956,3,8967.05,28004.16
18-03-2020,214846,156,83312,14,8823,3,8468.8,39256.71
19-03-2020,242616,194,84975,15,9946,4,8263.45,34274.23
20-03-2020,272247,244,87420,20,11422,5,8745.45,37321.25
23-03-2020,378282,499,98351,27,16759,10,7610.25,23891.9
24-03-2020,418079,536,108000,40,19014,10,7801.05,28282.09
25-03-2020,467723,657,113787,43,21785,12,8317.85,28482.01
26-03-2020,529701,727,122150,45,24788,20,8641.45,32228.31
27-03-2020,593423,887,130915,73,28288,20,8660.25,31336.86
30-03-2020,782490,1251,164566,102,39439,32,8281.1,24724.44
31-03-2020,857608,1397,178034,123,44238,35,8597.75,27401.3
01-04-2020,932638,1998,193177,148,49675,58,8253.8,21307.3
03-04-2020,1095876,2567,225796,192,61812,72,8083.8,26561.18
07-04-2020,1396438,5311,300054,421,86662,150,8792.2,35206.69
08-04-2020,1480200,5916,328661,506,93354,178,8748.75,37641.68
09-04-2020,1565538,6725,353975,620,100882,226,9111.9,32907.82
13-04-2020,1905192,10453,448655,1181,125561,358,8993.85,26749.06
14-04-2020,1975581,11487,474261,1359,132456,393,8925.3,41878.64
16-04-2020,2151872,13430,542107,1768,147965,448,8992.8,31318.29
17-04-2020,2239723,14352,568343,2041,156824,486,9266.75,33334.73
20-04-2020,2471847,18539,645935,3273,173123,592,9261.85,28620.91
21-04-2020,2549175,20080,680532,3975,180268,645,8981.45,28273.89
22-04-2020,2624741,21370,710702,4370,186945,681,9187.3,33981.82
23-04-2020,2708547,23077,739672,5012,193698,721,9313.9,30270.55
24-04-2020,2795875,24530,790374,5498,200030,780,9154.4,32859.05
27-04-2020,3023722,29451,874457,7137,214515,939,9282.3,26696.54
28-04-2020,3097190,31324,907832,7747,220830,1008,9380.9,30091.41
29-04-2020,3172287,33062,949315,8437,227696,1079,9553.35,31673.23
30-04-2020,3256853,34863,1014775,9068,233388,1154,9859.9,39332.46
